seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
63,Samuel,Kelley,50,Dukma Trail,Sucloece,MN,04645,$2882.15,RED,05/22/1920
64,Eugene,Mathis,42,Johco Avenue,Hupajsep,SD,49369,$3937.47,GREEN,07/23/1917
65,Connor,Marsh,65,Kamrac Road,Getoko,MT,83023,$9785.25,YELLOW,11/19/2067
66,Annie,Mason,35,Obob Place,Gauhele,AZ,63453,$7550.37,RED,09/08/2001
67,Jeremiah,Stephens,20,Miniw View,Edubimvaw,CO,82899,$3756.82,BLUE,01/06/1966
68,Jeremy,Marsh,54,Zorte Pass,Kizuziwi,FL,98291,$913.19,BLUE,08/29/1963
69,Mitchell,Kim,18,Zikpu Loop,Weseow,NE,24540,$5414.42,RED,07/03/1969
70,Adelaide,Roberts,36,Awujuk Path,Coszujno,LA,23669,$8634.95,GREEN,10/20/1937
71,Tom,Baldwin,44,Napud Glen,Nopece,NH,94470,$8946.81,BLUE,03/12/2025
72,Darrell,Strickland,44,Misin Boulevard,Fudilcol,ME,93349,$5000.59,WHITE,12/21/2026
73,Martin,Larson,39,Imaawa Park,Duzutvez,MS,29271,$3854.12,RED,09/24/1996
74,Katharine,Harvey,49,Futab Parkway,Fuidwe,AZ,20501,$3438.33,GREEN,04/06/1942
75,Minerva,Sandoval,58,Baipi Pass,Nokivpot,ND,52708,$527.63,YELLOW,12/12/2009
76,Mason,Morales,64,Cehu Street,Vofagohir,NE,54064,$7202.59,GREEN,11/29/1924
77,Marc,Carson,19,Baezu Terrace,Nuhekbo,IN,87208,$738.34,RED,10/22/1970
78,Melvin,Graves,64,Perec Extension,Remuvmo,DC,13181,$4847.74,RED,09/08/2004
79,Lida,Ballard,33,Jogu Trail,Mejgujis,MI,58030,$5202.18,RED,07/29/2009
80,Rhoda,Reynolds,42,Diwu Street,Kiwejfub,IN,10682,$1823.44,RED,12/14/1915
81,Vernon,Riley,34,Lapo Path,Hujaozu,WY,18805,$2676.47,YELLOW,02/20/1955
82,Derrick,Daniels,63,Ihhe Lane,Basjeom,AL,15951,$8193.85,YELLOW,08/27/1911
83,Shawn,Graham,27,Hiblis Court,Zophekzek,MO,83472,$9832.18,YELLOW,09/11/1914
84,Roxie,Brewer,32,Pofil Grove,Nuipoja,MN,61728,$5427.40,BLUE,03/02/2039
85,Marie,Hill,63,Lukja Terrace,Ecaabkag,MS,19318,$107.51,BLUE,09/11/2049
86,Travis,Burns,59,Aboem Boulevard,Juhfasu,TN,21419,$7887.62,YELLOW,08/15/1984
87,Verna,Smith,49,Enihu Court,Tonejluz,OR,96597,$8487.52,BLUE,08/07/1998
88,Mathilda,Nunez,48,Bolek Center,Honjirim,SD,04585,$999.75,RED,10/15/1941
89,Lula,Sharp,27,Wabnu Plaza,Cahipelad,MT,98154,$1098.35,YELLOW,01/24/1934
90,Carl,Stevenson,51,Wipa Trail,Icsekmuf,MI,48157,$5049.58,BLUE,11/11/2031
91,Bradley,Norton,41,Feupu Way,Nijifzij,IN,20024,$4800.08,YELLOW,06/15/1957
92,Effie,Warren,51,Vetlo Lane,Jegunajud,VA,59527,$5870.53,GREEN,05/21/1950
93,Jorge,Lane,48,Cogudo Ridge,Reekges,MA,22005,$2667.05,WHITE,07/07/1921
94,Lucas,Moreno,52,Nukce Boulevard,Owgirvo,NJ,26302,$4261.96,YELLOW,05/24/2004
95,Christine,McGuire,20,Gosvuz Heights,Ujigijka,MI,21454,$6768.87,BLUE,09/14/1988
96,Adeline,Burgess,20,Ruga Turnpike,Hakkazi,VA,55866,$1067.25,GREEN,02/18/2031
97,Ollie,Cain,59,Dimgi Street,Olipaimo,NJ,94970,$7267.36,GREEN,09/01/1943
98,Tommy,Wong,54,Zuwac Extension,Ciwece,DE,73731,$2943.08,YELLOW,10/13/1970
99,Antonio,Powers,53,Mesgal Parkway,Fugojifom,WA,42526,$2461.29,BLUE,06/13/1928
100,Estella,Wilkins,21,Akpiv Glen,Sidewag,NJ,97023,$8077.25,WHITE,02/20/2038
